dist,x,y,height,dsm,dtm
565.2068941,243531.919,80134.66544,35.896339,249.779999,213.908676
566.3893353,243532.5496,80133.66519,36.011295,249.889999,213.875107
567.5717765,243533.1802,80132.66493,34.674652,248.610001,213.970139
568.7542177,243533.8108,80131.66467,27.412434,241.313538,213.922562
569.9366589,243534.4414,80130.66441,12.591228,226.410004,213.793869
571.1191001,243535.072,80129.66416,26.276421,240.130005,213.821259
572.3015413,243535.7026,80128.6639,26.416792,240.259995,213.860443
573.4839825,243536.3332,80127.66364,22.264868,236.160004,213.870483
574.6664237,243536.9638,80126.66338,24.060457,237.928299,213.884277
575.8488649,243537.5944,80125.66313,24.858656,238.779999,213.903015
577.0313061,243538.225,80124.66287,24.056358,238.054382,213.989349
578.2137473,243538.8556,80123.66261,23.445993,237.519852,214.059357
579.3961885,243539.4861,80122.66236,18.170868,232.30426,214.262421
580.5786297,243540.1167,80121.6621,11.607161,225.786667,214.298325
581.7610709,243540.7473,80120.66184,3.448579,217.690002,214.240601
582.9435121,243541.3779,80119.66158,9.523228,223.699997,214.159027
584.1259533,243542.0085,80118.66133,10.32474,224.399994,214.1539
585.3083945,243542.6391,80117.66107,10.814745,225.119995,214.214279
586.4908357,243543.2697,80116.66081,10.536422,224.75,214.270004
587.6732769,243543.9003,80115.66055,9.81916,224.210007,214.455429
588.8557181,243544.5309,80114.6603,10.726216,225.360001,214.608215
590.0381593,243545.1615,80113.66004,12.564517,227.270004,214.687119
591.2206005,243545.7921,80112.65978,12.051729,226.949997,214.831406
592.4030417,243546.4227,80111.65953,14.428784,229.470001,215.058121
593.5854829,243547.0533,80110.65927,15.164588,230.440002,215.337555
594.7679241,243547.6839,80109.65901,15.006163,230.589996,215.485443
595.9503653,243548.3145,80108.65875,14.678818,230.580002,215.868622
597.1328065,243548.9451,80107.6585,14.695132,230.559998,216.060165
598.3152477,243549.5757,80106.65824,12.70579,229.360001,216.490936
599.4976889,243550.2063,80105.65798,13.21244,230.149994,216.922974
600.6801301,243550.8369,80104.65772,15.454392,235.520004,217.07753
